"display_name","full_name","overall","image_url","main_pos","alt_pos"
"Maradona","Diego Maradona","96","https://cdn3.futbin.com/content/fifa26/img/players/p100853338.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=bd89393532f74b8dbbfc1a3f35166acf","CAM","ST"
"Ronaldinho","Ronaldo de Assis Moreira","93","https://cdn3.futbin.com/content/fifa26/img/players/p83914210.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=7dbde8bee17583bbe2a764ddddf7c4ba","CAM","LW"
"Hamm","Mia Hamm","94","https://cdn3.futbin.com/content/fifa26/img/players/p50606891.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=cd8577d65ae31e0cf058a3fea0a977fd","ST","CAM, RW"
"Henry","Thierry Henry","91","https://cdn3.futbin.com/content/fifa26/img/players/p134219353.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=0b50a58d0ef7bb3e76fdb468b898fc75","ST","LW"
"Marcelo","Marcelo Vieira da Silva","91","https://cdn3.futbin.com/content/fifa26/img/players/p117617188.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=2446bb21b7d113c06aecedda9820f421","LB",""
"Cruyff","Johan Cruyff","94","https://cdn3.futbin.com/content/fifa26/img/players/p84076125.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=5caceeb02e88af1b40e93bae105b2b31","CAM","ST"
"Zidane","Zinedine Zidane","96","https://cdn3.futbin.com/content/fifa26/img/players/p100664693.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=521a804923de7a5a0f2cc1bce32643b2","CAM","CM"
"Beckenbauer","Franz Beckenbauer","94","https://cdn3.futbin.com/content/fifa26/img/players/p100831769.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=f5a69c49da5e859bf515740b957e6903","CB","CDM, CM"
"Lampard","Frank Lampard","87","https://cdn3.futbin.com/content/fifa26/img/players/p50337119.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=7b65f17897742b88bbba87b3d856e4bf","CM","CDM, CAM"
"Ibrahimović","Zlatan Ibrahimović","92","https://cdn3.futbin.com/content/fifa26/img/players/p151036180.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=53828d7c62fc48b645f79060ecf773ca","ST",""
"Vidic","Nemanja Vidic","91","https://cdn3.futbin.com/content/fifa26/img/players/p67249465.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=556866f1e9d3c1d1fa42b0214a02ea3f","CB",""
"Sawa","Homare Sawa","92","https://cdn3.futbin.com/content/fifa26/img/players/p50558654.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=d994943d32fc081c8c720423d2d41007","CM","CAM"
"Eusébio","Eusébio da Silva Ferreira","92","https://cdn3.futbin.com/content/fifa26/img/players/p84128599.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=49b6eba785927a5747e0e45b9c081219","ST",""
"Thuram","Lilian Thuram","91","https://cdn3.futbin.com/content/fifa26/img/players/p117442127.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=f5d42c539bef3c2871111312330dd9bd","RB","CB"
"Puskás","Ferenc Puskás","93","https://cdn3.futbin.com/content/fifa26/img/players/p84140722.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=0135f4d4e49cf50e8f2c19dbae8fef58","ST",""
